MIP_USER_ID,DTS_REQUEST_ID,INPUT_TYPE,FILE_SIZE,RECORD_COUNT,STARTTIME,ACTUALSTARTTIME,ENDTIME,PROCESSINGTIME,OVERALLTIME,TIMEINRECEIVED,TIMEINTRANSFORMED,TIMEINSUBMITTED,TIMEFORRECEIVEDWORK,TIMEFORTRANSFORMWORK,TIMEFORSUBMITWORK,RECEIVETOTRANSFORMTIME,TRANSFORMTOSUBMITTIME
5000182643,5074021010,30,2067,218,4/17/2016 13:52,4/17/2016 13:52,4/17/2016 13:55,3.116666667,3.116666667,0.066666667,0.083333333,1.066666667,0.066666667,0.083333333,0.033333333,1.55,0.066666667
5000002933,5073965437,2,784,89,4/17/2016 5:26,4/17/2016 5:26,4/17/2016 5:31,4.316666667,4.316666667,0.05,0.116666667,2.65,0.05,0.116666667,0.033333333,1.366666667,0.016666667
5000004848,5074071362,2,21147,1287,4/17/2016 21:34,4/17/2016 21:34,4/17/2016 21:38,3.616666667,3.616666667,0.15,0.183333333,2.016666667,0.15,0.183333333,0.083333333,0.5,0.3
5000005047,5073983256,1,28826,88,4/17/2016 8:07,4/17/2016 8:07,4/17/2016 8:11,3.416666667,3.416666667,0.1,0.15,1.55,0.1,0.15,0.05,1.216666667,0.216666667
5000008560,5074047369,2,333,1,4/17/2016 17:57,4/17/2016 17:57,4/17/2016 17:58,1.533333333,1.533333333,0.05,0.083333333,0.016666667,0.05,0.083333333,0.016666667,0.666666667,0.416666667
5000180245,5074017850,30,364055,46330,4/17/2016 13:22,4/17/2016 16:56,4/17/2016 17:20,24.41666667,238.1166667,219.3666667,2.583333333,15.48333333,5.666666667,2.583333333,6.65,0.433333333,0.116666667
5000184031,5073992005,1,50219,101,4/17/2016 9:26,4/17/2016 9:26,4/17/2016 9:29,3.083333333,3.083333333,0.1,0.1,2.666666667,0.1,0.1,0.066666667,0.083333333,0.116666667
5000002712,5073952553,2,411,12,4/17/2016 3:30,4/17/2016 3:30,4/17/2016 3:32,2.45,2.45,0.033333333,0.083333333,1.7,0.033333333,0.083333333,0.033333333,0.466666667,0
5000003237,5073946101,2,639,33,4/17/2016 2:31,4/17/2016 2:31,4/17/2016 2:34,3.1,3.1,0.05,0.1,2.316666667,0.05,0.1,0.033333333,0.366666667,0.1
5000008360,5074025132,30,339112,45649,4/17/2016 14:32,4/17/2016 16:49,4/17/2016 16:57,8.5,145.1333333,142.0166667,2.433333333,0.033333333,5.383333333,2.433333333,0.033333333,0.566666667,0.066666667
5000005070,5073974589,1,14854,20,4/17/2016 6:49,4/17/2016 6:49,4/17/2016 6:52,3.416666667,3.416666667,0.033333333,0.083333333,2.883333333,0.033333333,0.083333333,0.05,0.016666667,0.2
5000003345,5073996530,2,23961,3962,4/17/2016 10:07,4/17/2016 10:07,4/17/2016 10:16,9.016666667,9.016666667,0.65,2.15,4.833333333,0.65,2.15,0.233333333,1.233333333,0.1
5000000510,5074023927,2,3489,186,4/17/2016 14:19,4/17/2016 14:19,4/17/2016 14:21,1.8,1.8,0.066666667,0.1,1.116666667,0.066666667,0.1,0.066666667,0.366666667,0.133333333
5000002831,5073985743,1,14972,260,4/17/2016 8:31,4/17/2016 8:41,4/17/2016 8:48,6.7,17.23333333,10.6,0.116666667,5.416666667,0.066666667,0.116666667,0.066666667,0.866666667,0.183333333
5000184055,5074075386,30,4742,562,4/17/2016 22:10,4/17/2016 22:11,4/17/2016 22:16,4.85,6.083333333,1.35,0.316666667,3.15,0.116666667,0.316666667,0.133333333,1.033333333,0.083333333
5000180245,5073953226,1,31011,331,4/17/2016 3:36,4/17/2016 8:20,4/17/2016 8:22,2.266666667,286.5333333,284.3333333,0.316666667,0.066666667,0.066666667,0.316666667,0.066666667,0.683333333,0.75
5000002814,5074010099,2,2021,117,4/17/2016 12:10,4/17/2016 12:10,4/17/2016 12:15,4.85,4.85,0.066666667,0.1,2.8,0.066666667,0.1,0.066666667,1.833333333,0.033333333
5000006961,5073983410,1,16473,41,4/17/2016 8:08,4/17/2016 8:08,4/17/2016 8:13,4.783333333,4.783333333,0.05,0.2,3.616666667,0.05,0.2,0.033333333,0.65,0.033333333
5000000510,5074054935,2,3257,177,4/17/2016 19:04,4/17/2016 19:04,4/17/2016 19:08,3.833333333,3.833333333,0.083333333,0.1,2.633333333,0.083333333,0.1,0.066666667,0.15,0.666666667
5000008360,5073991415,30,350784,47204,4/17/2016 9:18,4/17/2016 12:10,4/17/2016 12:32,21.98333333,193.2166667,176.6166667,4.183333333,11.75,5.383333333,4.183333333,4.233333333,0.516666667,0
5000004188,5073941665,2,360,8,4/17/2016 1:46,4/17/2016 1:46,4/17/2016 1:49,3.266666667,3.266666667,0.05,0.066666667,2.066666667,0.05,0.066666667,0.033333333,0.8,0.05
